% Model:              poly_cp_WithResults.mph
% Version:            COMSOL 5.5.0.359
% Date:               Dec 21 2021, 10:33
% Dimension:          3
% Nodes:              7402
% Expressions:        1
% Description:        Volume
% x                       y                        z                        Color
1.2000000000000126E-7     1.8000000000000002E-8    0                        5.397836247862254E-13
1.2000000000000126E-7     2.4000000000000003E-8    0                        5.356594461867547E-13
1.2000000000000126E-7     3.0000000000000004E-8    0                        5.315235384940444E-13
1.800000000000019E-7      2.4000000000000003E-8    0                        7.72563228106113E-13
1.800000000000019E-7      3.0000000000000004E-8    0                        7.663710956602871E-13
2.400000000000025E-7      3.0000000000000004E-8    0                        9.806091781060108E-13
0                         3.0E-8                   0                        0
1.8232343824438913E-7     3.0E-8                   1.583464873431792E-7     -3.4657665423771404E-13
1.9674257868329246E-7     3.0E-8                   1.1875986550738441E-7    -2.313993494056286E-14
2.4232343824438975E-7     3.0000000000000004E-8    1.583464873431792E-7     -1.7988067753541228E-13
2.1116171912219581E-7     3.0000000000000004E-8    7.91732436715896E-8      3.0586994354910846E-13
2.567425786832931E-7      3.0000000000000004E-8    1.1875986550738441E-7    1.502891995174645E-13
2.255808595610992E-7      3.0000000000000004E-8    3.95866218357948E-8      6.404529812312994E-13
2.7116171912219646E-7     3.0000000000000004E-8    7.91732436715896E-8      4.86032235762861E-13
2.855808595610998E-7      3.0000000000000004E-8    3.95866218357948E-8      8.273484312007777E-13
1.3674257868329184E-7     3.0E-8                   1.1875986550738441E-7    -2.1717854411910956E-13
1.511617191221952E-7      3.0000000000000004E-8    7.91732436715896E-8      1.0509817661483615E-13
1.6558085956109855E-7     3.0000000000000004E-8    3.95866218357948E-8      4.3294805654130185E-13
9.116171912219457E-8      3.0E-8                   7.91732436715896E-8      -1.1628306503995577E-13
1.0558085956109791E-7     3.0000000000000004E-8    3.95866218357948E-8      2.0483365713078432E-13
4.5580859561097283E-8     3.0E-8                   3.95866218357948E-8      -4.389021700025256E-14
2.279042978054864E-7      3.0E-8                   1.97933109178974E-7      -5.04477395395769E-13
0                         6.0E-9                   2.4000000000000014E-7    -1.411053969211584E-12
0                         6.0E-9                   3.0000000000000015E-7    -1.7995042905866523E-12
0                         0                        2.4E-7                   -1.401793740443809E-12
0                         1.2E-8                   2.400000000000003E-7     -1.42036574346968E-12
0                         1.2E-8                   3.000000000000003E-7     -1.8106946805919115E-12
0                         1.8E-8                   2.4000000000000046E-7    -1.4297290632180964E-12
0                         1.8E-8                   3.000000000000005E-7     -1.8219366160874915E-12
0                         2.4E-8                   2.4000000000000067E-7    -1.4391439284568343E-12
0                         2.4E-8                   3.000000000000006E-7     -1.8332300970733917E-12
0                         6.0E-9                   1.8000000000000013E-7    -1.0370529560432963E-12
0                         0                        1.8E-7                   -1.0296713430226844E-12
0                         1.2E-8                   1.8000000000000031E-7    -1.044486114554229E-12
0                         1.8E-8                   1.800000000000005E-7     -1.051970818555483E-12
0                         6.0E-9                   1.2000000000000015E-7    -6.775012510817908E-13
0                         0                        1.2E-7                   -6.719982538083419E-13
0                         1.2E-8                   1.2000000000000033E-7    -6.830557938455604E-13
0                         6.0E-9                   6.000000000000017E-8     -3.32398854327066E-13
0                         0                        5.999999999999998E-8     -3.2877447280077967E-13
3.8832319488344285E-8     0                        2.7724164001832744E-7    -1.5481286311360127E-12
3.8832319488344285E-8     0                        2.1724164001832746E-7    -1.1505145249945287E-12
7.766463897668857E-8      0                        2.5448328003665495E-7    -1.2952433886604593E-12
7.766463897668857E-8      0                        1.944832800366549E-7     -8.865868820053973E-13
1.1649695846503285E-7     0                        2.317249200549824E-7     -1.029709718645055E-12
1.1649695846503285E-7     0                        1.717249200549824E-7     -6.10010811476415E-13
1.5532927795337714E-7     0                        2.0896656007330987E-7    -7.515276210897987E-13
3.8832319488344285E-8     0                        1.5724164001832743E-7    -7.673497270598262E-13
7.766463897668857E-8      0                        1.3448328003665494E-7    -4.923796835571167E-13
3.8832319488344285E-8     0                        9.724164001832745E-8     -3.986342373319057E-13
0                         0                        3.0E-7                   -1.7883654460717148E-12
0                         3.0E-8                   3.0000000000000083E-7    -1.8445751235496133E-12
0                         1.2E-8                   6.000000000000017E-8     -3.3493825184524525E-13
0                         1.8E-8                   6.000000000000017E-8     -3.3748937845666394E-13
0                         1.8E-8                   1.2000000000000033E-7    -6.881580470683982E-13
0                         2.4E-8                   6.000000000000017E-8     -3.4005223416132237E-13
0                         2.4E-8                   1.2000000000000033E-7    -6.932720293844752E-13
0                         2.4E-8                   1.800000000000005E-7     -1.0596359274829789E-12
0                         3.0E-8                   6.000000000000017E-8     -3.426268189592204E-13
0                         3.0E-8                   1.2000000000000033E-7    -6.983977407937919E-13
0                         3.0E-8                   1.800000000000005E-7     -1.0673127655037145E-12
0                         3.0E-8                   2.4000000000000067E-7    -1.449371893088989E-12
1.8232343824438913E-7     3.0E-8                   2.1834648734317938E-7    -8.012403329493178E-13
1.3674257868329184E-7     3.0E-8                   1.7875986550738457E-7    -6.438330078926176E-13
9.116171912219457E-8      3.0E-8                   1.3917324367158977E-7    -5.149283138753678E-13
4.5580859561097283E-8     3.0E-8                   9.958662183579497E-8     -4.145262508975689E-13
1.3674257868329184E-7     3.0E-8                   2.3875986550738474E-7    -1.0836315745414766E-12
9.116171912219457E-8      3.0E-8                   1.9917324367158994E-7    -9.26717665586131E-13
4.5580859561097283E-8     3.0E-8                   1.5958662183579514E-7    -7.983063876702365E-13
9.116171912219457E-8      3.0E-8                   2.591732436715901E-7     -1.3516511201722454E-12
4.5580859561097283E-8     3.0E-8                   2.195866218357953E-7     -1.195230627318255E-12
4.5580859561097283E-8     3.0E-8                   2.7958662183579547E-7    -1.6052989698416246E-12
3.6000000000000063E-7     6.000000000000001E-9     0                        1.3897636731869968E-12
3.6E-7                    0                        0                        1.4053689354602715E-12
3.600000000000012E-7      1.2000000000000002E-8    0                        1.3746320706947218E-12
3.600000000000019E-7      1.8000000000000002E-8    0                        1.3599741279834467E-12
3.6000000000000254E-7     2.4000000000000003E-8    0                        1.3457898450531711E-12
4.2000000000000064E-7     6.000000000000001E-9     0                        1.565180489335626E-12
4.2E-7                    0                        0                        1.5837569741376099E-12
4.2000000000000127E-7     1.2000000000000002E-8    0                        1.547077664314641E-12
4.200000000000019E-7      1.8000000000000002E-8    0                        1.529448499074657E-12
4.800000000000007E-7      6.000000000000001E-9     0                        1.7462877954453648E-12
4.800000000000001E-7      0                        0                        1.7678355027760584E-12
4.800000000000013E-7      1.2000000000000002E-8    0                        1.7252137478956707E-12
5.400000000000007E-7      6.000000000000001E-9     0                        1.9330855915162136E-12
5.4E-7                    0                        0                        1.957604521375616E-12
3.296675240400166E-7      0                        4.338768331137345E-8     9.886676484321714E-13
3.8966752404001663E-7     0                        4.338768331137345E-8     1.161618005448669E-12
3.5933504808003325E-7     0                        8.67753666227469E-8      7.444539771411149E-13
4.193350480800332E-7      0                        8.67753666227469E-8      9.176571424578814E-13
3.890025721200498E-7      0                        1.3016304993412034E-7    5.000303728708736E-13
4.4900257212004984E-7     0                        1.3016304993412034E-7    6.734863464879088E-13
4.186700961600664E-7      0                        1.735507332454938E-7     2.553968356214464E-13
4.786700961600665E-7      0                        1.735507332454938E-7     4.291056175387504E-13
4.4966752404001664E-7     0                        4.338768331137345E-8     1.3402588524262766E-12
4.793350480800333E-7      0                        8.67753666227469E-8      1.0965507977357573E-12
5.090025721200499E-7      0                        1.3016304993412034E-7    8.526328100660539E-13
5.096675240400167E-7      0                        4.338768331137345E-8     1.5245901893649936E-12
5.393350480800333E-7      0                        8.67753666227469E-8      1.2811349429747432E-12
5.696675240400167E-7      0                        4.338768331137345E-8     1.7146120162648203E-12
4.4833762020008305E-7     0                        2.1693841655686726E-7    1.0553365392834917E-14
6.000000000000001E-7      0                        0                        2.1530640299362847E-12
3.084998435283609E-7      0                        8.062932332970092E-8     6.446599998531537E-13
2.8733216301670516E-7     0                        1.178709633480284E-7     3.0755281642155473E-13
2.6616448250504943E-7     0                        1.5511260336635587E-7    -2.2653901862625232E-14
2.4499680199339375E-7     0                        1.9235424338468333E-7    -3.4596015499938683E-13
3.3816736756837747E-7     0                        1.2401700664107438E-7    4.089133068256641E-13
3.169996870567218E-7      0                        1.6125864665940185E-7    8.027310165763176E-14
2.9583200654506607E-7     0                        1.9850028667772931E-7    -2.4146663836298127E-13
3.6783489160839405E-7     0                        1.674046899524478E-7     1.7295668081898953E-13
3.466672110967384E-7      0                        2.046463299707753E-7     -1.4721654608547585E-13
3.9750241564841074E-7     0                        2.1079237326382128E-7    -6.320987816687045E-14
0                         2.3999999999999997E-8    6.600000000000022E-7     -4.7041451692074076E-12
0                         2.4E-8                   6.000000000000016E-7     -4.238657026035393E-12
0                         3.0E-8                   6.600000000000026E-7     -4.725540099802703E-12
0                         1.7999999999999996E-8    6.600000000000017E-7     -4.682791582130048E-12
0                         1.8E-8                   6.000000000000011E-7     -4.218608485522308E-12
0                         1.1999999999999997E-8    6.600000000000014E-7     -4.6614793385706274E-12
0                         1.2E-8                   6.000000000000008E-7     -4.19860128852716E-12
0                         5.999999999999998E-9     6.600000000000011E-7     -4.640208438529144E-12
0                         5.999999999999998E-9     6.000000000000004E-7     -4.178635435049949E-12
0                         2.3999999999999993E-8    7.200000000000027E-7     -5.168623835663464E-12
0                         3.0E-8                   7.200000000000031E-7     -5.191323812823032E-12
0                         1.7999999999999996E-8    7.200000000000024E-7     -5.1459652020218316E-12
0                         1.1999999999999997E-8    7.20000000000002E-7      -5.123347911898139E-12
0                         2.399999999999999E-8     7.800000000000033E-7     -5.6320930254035646E-12
0                         2.999999999999999E-8     7.800000000000038E-7     -5.656098049127406E-12
0                         1.7999999999999992E-8    7.80000000000003E-7      -5.608129345197661E-12
0                         2.3999999999999993E-8    8.40000000000004E-7      -6.094552738427711E-12
